#HEADER:Level,LevelCategory,AreaCode,AreaName
2,KECAMATAN,22962,TERBANGGI BESAR
2,KECAMATAN,22973,SEPUTIH RAMAN
2,KECAMATAN,22988,RUMBIA
2,KECAMATAN,22997,SEPUTIH BANYAK
2,KECAMATAN,23009,SEPUTIH MATARAM
2,KECAMATAN,23022,SEPUTIH SURABAYA
2,KECAMATAN,23036,TERUSAN NUNYAI
2,KECAMATAN,23182,PUTRA RUMBIA
1,KABUPATEN/KOTA,23189,LAMPUNG UTARA
2,KECAMATAN,23190,BUKIT KEMUNING
2,KECAMATAN,23359,ABUNG SURAKARTA
2,KECAMATAN,23369,MUARA SUNGKAI
2,KECAMATAN,23381,BUNGA MAYANG
2,KECAMATAN,23393,HULU SUNGKAI
2,KECAMATAN,23404,SUNGKAI TENGAH
2,KECAMATAN,23413,ABUNG PEKURUN
2,KECAMATAN,23423,SUNGKAI JAYA
2,KECAMATAN,23433,SUNGKAI BARAT
2,KECAMATAN,23444,ABUNG KUNANG
2,KECAMATAN,23351,ABUNG SEMULI
2,KECAMATAN,23342,ABUNG TINGGI
2,KECAMATAN,23330,ABUNG TENGAH
2,KECAMATAN,23199,KOTABUMI
2,KECAMATAN,23213,SUNGKAI SELATAN
2,KECAMATAN,23225,TANJUNG RAJA
2,KECAMATAN,23245,ABUNG TIMUR
2,KECAMATAN,23258,ABUNG BARAT
2,KECAMATAN,23273,ABUNG SELATAN
2,KECAMATAN,23290,SUNGKAI UTARA
2,KECAMATAN,23306,KOTABUMI UTARA
2,KECAMATAN,23315,KOTABUMI SELATAN
2,KECAMATAN,23452,BLAMBANGAN PAGAR
1,KABUPATEN/KOTA,23460,LAMPUNG BARAT
2,KECAMATAN,23461,PESISIR SELATAN
2,KECAMATAN,23621,GEDUNG SURIAN
2,KECAMATAN,23627,NGAMBUR
2,KECAMATAN,23637,BANGKUNAT BELIMBING
2,KECAMATAN,23651,KRUI SELATAN
2,KECAMATAN,23662,WAY KRUI
2,KECAMATAN,23673,LUMBOK SEMINUNG
2,KECAMATAN,23684,AIR HITAM
2,KECAMATAN,23695,KEBUN TEBU
2,KECAMATAN,23706,PAGAR DEWA
2,KECAMATAN,23716,BATU KETULIS
2,KECAMATAN,23727,BANDAR NEGERI SUOH
2,KECAMATAN,23611,BENGKUNAT
2,KECAMATAN,23597,LEMONG
2,KECAMATAN,23477,PESISIR TENGAH
2,KECAMATAN,23486,PESISIR UTARA
2,KECAMATAN,23505,BALIK BUKIT
2,KECAMATAN,23518,SUMBER JAYA
2,KECAMATAN,23525,BELALAU
2,KECAMATAN,23536,WAY TENONG
2,KECAMATAN,23546,SEKINCAU
2,KECAMATAN,23552,SUOH
2,KECAMATAN,23561,BATU BRAK
2,KECAMATAN,23573,SUKAU
2,KECAMATAN,23584,KARYA PENGGAWA
2,KECAMATAN,83871,PULAUPISANG
1,KABUPATEN/KOTA,23737,TULANG BAWANG
2,KECAMATAN,23738,MENGGALA
2,KECAMATAN,23879,BANJAR BARU
2,KECAMATAN,23867,DENTE TELADAS
2,KECAMATAN,23862,GEDUNG AJI BARU
2,KECAMATAN,23853,MERAKSA AJI
2,KECAMATAN,23843,PENAWAR AJI
