2,KECAMATAN,27340,CIKADU,0,0,0
2,KECAMATAN,27350,GEKBRONG,0,0,0
2,KECAMATAN,27359,CIPANAS,0,0,0
2,KECAMATAN,27367,CIJATI,0,0,0
2,KECAMATAN,27377,LELES,0,0,0
2,KECAMATAN,27389,HAURWANGI,0,0,0
2,KECAMATAN,27233,KADUPANDAK,0,0,0
2,KECAMATAN,27223,TAKOKAK,0,0,0
2,KECAMATAN,27039,WARUNGKONDANG,0,0,0
2,KECAMATAN,27051,CIBEBER,0,0,0
2,KECAMATAN,27070,CILAKU,0,0,0
2,KECAMATAN,27081,CIRANJANG,0,0,0
2,KECAMATAN,27091,BOJONGPICUNG,0,0,0
2,KECAMATAN,27103,KARANGTENGAH,0,0,0
2,KECAMATAN,27120,MANDE,0,0,0
2,KECAMATAN,27133,SUKALUYU,0,0,0
2,KECAMATAN,27144,PACET,0,0,0
2,KECAMATAN,27152,CUGENANG,0,0,0
2,KECAMATAN,27169,CIKALONGKULON,0,0,0
2,KECAMATAN,27188,SUKARESMI,0,0,0
2,KECAMATAN,27200,SUKANAGARA,0,0,0
2,KECAMATAN,27211,CAMPAKA,0,0,0
2,KECAMATAN,27398,PASIRKUDA,0,0,0
1,KABUPATEN/KOTA,27407,BANDUNG,0,0,0
2,KECAMATAN,27408,CILEUNYI,59862,27140,87002
2,KECAMATAN,27566,CIPARAY,62511,24786,87297
2,KECAMATAN,27581,PACET,35103,18341,53444
2,KECAMATAN,27595,KERTASARI,30452,9076,39528
2,KECAMATAN,27603,BALEENDAH,82926,41624,124550
2,KECAMATAN,27612,MAJALAYA,53547,34445,87992
2,KECAMATAN,27624,SOLOKANJERUK,28651,18712,47363
2,KECAMATAN,27632,PASEH,35816,31428,67244
2,KECAMATAN,27645,IBUN,22914,22882,45796
2,KECAMATAN,27658,SOREANG,39922,21431,61353
2,KECAMATAN,27669,PASIRJAMBU,27468,19645,47113
2,KECAMATAN,27680,CIWIDEY,25975,18848,44823
2,KECAMATAN,27688,RANCABALI,16601,11857,28458
2,KECAMATAN,27694,CANGKUANG,23589,16224,39813
2,KECAMATAN,27552,RANCAEKEK,69199,22799,91998
2,KECAMATAN,27542,CIKANCUNG,28918,14776,43694
2,KECAMATAN,27535,NAGREG,17994,9503,27497
2,KECAMATAN,27415,CIMENYAN,33979,26828,60807
2,KECAMATAN,27425,CILENGKRANG,17007,9743,26750
2,KECAMATAN,27432,BOJONGSOANG,38930,17308,56238
2,KECAMATAN,27439,MARGAHAYU,35764,28405,64169
2,KECAMATAN,27445,MARGAASIH,42175,32381,74556
2,KECAMATAN,27452,KATAPANG,35809,25306,61115
2,KECAMATAN,27460,DAYEUHKOLOT,37072,21079,58151
2,KECAMATAN,27467,BANJARAN,44649,22642,67291
2,KECAMATAN,27479,PAMEUNGPEUK,30339,11092,41431
2,KECAMATAN,27486,PANGALENGAN,56347,25684,82031
2,KECAMATAN,27500,ARJASARI,34134,16384,50518
2,KECAMATAN,27512,CIMAUNG,24421,19288,43709
2,KECAMATAN,27522,CICALENGKA,44238,16492,60730
2,KECAMATAN,27702,KUTAWARINGIN,34797,18895,53692
1,KABUPATEN/KOTA,27714,GARUT,1171109,655044,1826153
2,KECAMATAN,28174,SUCINARAJA,9707,4407,14114
2,KECAMATAN,28067,CIKELET,14860,5883,20743
2,KECAMATAN,28056,CIBALONG,12961,9929,22890
2,KECAMATAN,28044,CISOMPET,15431,10583,26014
2,KECAMATAN,28036,PAMEUNGPEUK,16415,4952,21367
2,KECAMATAN,28029,PEUNDEUY,7306,2360,9666
2,KECAMATAN,28024,CIHURIP,5364,3368,8732
2,KECAMATAN,28014,SINGAJAYA,14071,6259,20330
2,KECAMATAN,28002,BANJARWANGI,18282,7485,25767
2,KECAMATAN,28077,BUNGBULANG,19611,9770,29381
2,KECAMATAN,28090,MEKARMUKTI,4901,3469,8370
2,KECAMATAN,28095,PAKENJENG,22614,9327,31941
2,KECAMATAN,28165,PANGATIKAN,13844,3388,17232
2,KECAMATAN,28159,CIBIUK,9768,3975,13743
2,KECAMATAN,28151,SELAAWI,13690,6021,19711
2,KECAMATAN,28128,TALEGONG,9988,6735,16723
2,KECAMATAN,28122,CARINGIN,9271,6273,15544
2,KECAMATAN,28114,CISEWU,13258,6407,19665
2,KECAMATAN,28108,PAMULIHAN,6468,2753,9221
2,KECAMATAN,27989,CIKAJANG,29211,11156,40367
2,KECAMATAN,27982,SUKARESMI,13396,4486,17882
2,KECAMATAN,27826,LELES,26191,13945,40136
2,KECAMATAN,27813,PASIRWANGI,25155,8343,33498
2,KECAMATAN,27800,SAMARANG,27174,9363,36537
2,KECAMATAN,27784,BANYURESMI,32595,9763,42358
2,KECAMATAN,27771,TAROGONG KIDUL,43410,15069,58479
2,KECAMATAN,27757,TAROGONG KALER,34797,13985,48782
2,KECAMATAN,27748,WANARAJA,16373,6532,22905
2,KECAMATAN,27727,KARANGPAWITAN,46147,17689,63836
2,KECAMATAN,27839,KADUNGORA,31164,14989,46153
2,KECAMATAN,27854,LEUWIGOONG,14634,6402,21036
2,KECAMATAN,27863,CIBATU,25295,8170,33465
2,KECAMATAN,27965,CISURUPAN,29731,17503,47234
2,KECAMATAN,27946,CILAWU,38972,15508,54480
2,KECAMATAN,27940,CIGEDUG,12059,5757,17816
2,KECAMATAN,27922,BAYONGBONG,32872,13104,45976
2,KECAMATAN,27917,KARANGTENGAH,5092,2056,7148
2,KECAMATAN,27905,SUKAWENING,18554,5816,24370
2,KECAMATAN,27881,MALANGBONG,40140,14810,54950
2,KECAMATAN,27875,KERSAMANAH,13528,4000,17528
2,KECAMATAN,27715,GARUT KOTA,46288,24890,71178
1,KABUPATEN/KOTA,28182,TASIKMALAYA,840588,356680,1197268
2,KECAMATAN,28183,CIPATUJAH,19862,15457,35319
2,KECAMATAN,28399,MANONJAYA,25975,8483,34458
2,KECAMATAN,28412,GUNUNG TANJUNG,11912,3273,15185
2,KECAMATAN,28420,SINGAPARNA,24243,11663,35906
2,KECAMATAN,28431,MANGUNREJA,14149,5986,20135
2,KECAMATAN,28438,SUKARAME,15518,4767,20285
2,KECAMATAN,28445,CIGALONTANG,27924,9978,37902
2,KECAMATAN,28462,LEUWISARI,13799,5599,19398
2,KECAMATAN,28470,PADAKEMBANG,13269,6229,19498
2,KECAMATAN,28476,SARIWANGI,12961,3259,16220
2,KECAMATAN,28485,SUKARATU,16205,7228,23433
2,KECAMATAN,28494,CISAYONG,18425,11092,29517
2,KECAMATAN,28508,SUKAHENING,9122,6232,15354
2,KECAMATAN,28516,RAJAPOLAH,17618,6936,24554
2,KECAMATAN,28525,JAMANIS,12367,4476,16843
2,KECAMATAN,28534,CIAWI,20339,10823,31162
2,KECAMATAN,28546,KADIPATEN,13792,3098,16890
2,KECAMATAN,28553,PAGERAGEUNG,21939,6145,28084
2,KECAMATAN,28394,KARANG JAYA,4317,3356,7673
2,KECAMATAN,28383,CINEAM,12674,7706,20380
2,KECAMATAN,28371,JATIWARAS,18085,6046,24131
2,KECAMATAN,28199,KARANGNUNGGAL,28840,15904,44744
2,KECAMATAN,28214,CIKALONG,23505,10269,33774
2,KECAMATAN,28228,PANCA TENGAH,18620,5382,24002
2,KECAMATAN,28240,CIKATOMAS,19550,7739,27289
2,KECAMATAN,28250,CIBALONG,12418,6320,18738
2,KECAMATAN,28257,PARUNGPONTENG,15518,3423,18941
2,KECAMATAN,28266,BANTARKALONG,14565,4525,19090
2,KECAMATAN,28275,BOJONGASIH,7889,2490,10379
2,KECAMATAN,28282,CULAMEGA,9884,2500,12384
2,KECAMATAN,28288,BOJONGGAMBIR,14580,5705,20285
2,KECAMATAN,28299,SODONGHILIR,27537,5986,33523
2,KECAMATAN,28312,TARAJU,12523,7120,19643
2,KECAMATAN,28322,SALAWU,22298,9920,32218
2,KECAMATAN,28335,PUSPAHIANG,9132,9192,18324
2,KECAMATAN,28344,TANJUNGJAYA,17264,5271,22535
2,KECAMATAN,28352,SUKARAJA,19855,7461,27316
2,KECAMATAN,28361,SALOPA,15122,7686,22808
2,KECAMATAN,28564,SUKARESIK,14160,3843,18003
1,KABUPATEN/KOTA,28573,CIAMIS,647755,268568,916323
2,KECAMATAN,28574,CIAMIS,0,0,0
2,KECAMATAN,28796,PADAHERANG,0,0,0
2,KECAMATAN,28811,KALIPUCANG,0,0,0
2,KECAMATAN,28821,PANGANDARAN,0,0,0
2,KECAMATAN,28830,SIDAMULIH,0,0,0
2,KECAMATAN,28838,PARIGI,0,0,0
2,KECAMATAN,28849,CIJULANG,0,0,0
2,KECAMATAN,28857,CIMERAK,0,0,0
2,KECAMATAN,28869,CIGUGUR,0,0,0
2,KECAMATAN,28877,LANGKAPLANCAR,0,0,0
2,KECAMATAN,28891,CIMARAGAS,0,0,0
2,KECAMATAN,28897,CISAGA,0,0,0
2,KECAMATAN,28909,SINDANGKASIH,0,0,0
2,KECAMATAN,28919,BAREGBEG,0,0,0
2,KECAMATAN,28929,SUKAMANTRI,0,0,0
2,KECAMATAN,28935,LUMBUNG,0,0,0
2,KECAMATAN,28944,PURWADADI,0,0,0
2,KECAMATAN,28782,PAMARICAN,0,0,0
2,KECAMATAN,28760,BANJARSARI,0,0,0
2,KECAMATAN,28587,CIKONENG,0,0,0
2,KECAMATAN,28597,CIJEUNGJING,0,0,0
2,KECAMATAN,28609,SADANANYA,0,0,0
2,KECAMATAN,28618,CIDOLOG,0,0,0
2,KECAMATAN,28625,CIHAURBEUTI,0,0,0
2,KECAMATAN,28637,PANUMBANGAN,0,0,0
2,KECAMATAN,28652,PANJALU,0,0,0
2,KECAMATAN,28661,KAWALI,0,0,0
2,KECAMATAN,28673,PANAWANGAN,0,0,0
2,KECAMATAN,28688,CIPAKU,0,0,0
2,KECAMATAN,28702,JATINAGARA,0,0,0
2,KECAMATAN,28709,RAJADESA,0,0,0
2,KECAMATAN,28721,SUKADANA,0,0,0
2,KECAMATAN,28728,RANCAH,0,0,0
